MODAV_9453,#genre#
彩虹E台,udp://@224.1.4.63:11111/
彩虹E台,udp://@224.1.4.141:11111/
彩虹電影,udp://@224.1.4.64:11111/
彩虹電影,udp://@224.1.4.164:11111/
K頻道,udp://@224.1.4.65:11111/
K頻道,udp://@224.1.4.175:11111/
松視1台,udp://@224.1.4.68:11111
松視2台,udp://@224.1.4.69:11111/
松視2台,udp://@224.1.4.149:11111/
松視3台,udp://@224.1.4.70:11111/
松視3台,udp://@224.1.4.253:11111/
HAPPY,udp://@224.1.4.72:11111/
HAPPY,udp://@224.1.4.186:11111/
驚豔成人電影台,udp://@224.1.4.204:11111
香蕉台,udp://@224.1.4.205:11111
JStar極限台電影頻道,udp://@230.1.2.152:11111
